iter	PRAUC	Logloss
0	0.7899182705	0.663053546
1	0.8437670243	0.6336308774
2	0.8656607884	0.6086556711
3	0.8643338257	0.5967102743
4	0.8733162048	0.5819683704
5	0.8829696607	0.5694042254
6	0.8842471027	0.555853257
7	0.891824852	0.5457642124
8	0.893348005	0.5343764899
9	0.9009978773	0.5227855785
10	0.9108390341	0.5092105693
11	0.9136999577	0.4990233632
12	0.9146286108	0.4922815242
13	0.9201120217	0.4842062173
14	0.9222721024	0.4783571094
15	0.9278956023	0.4696359337
16	0.9317676336	0.4611083858
17	0.9370617387	0.4524049298
18	0.9420284373	0.4423937497
19	0.9434551315	0.4366045902
20	0.9458636409	0.4285554698
21	0.9499979083	0.4200689175
22	0.95160933	0.4151513491
23	0.9547190032	0.4076887574
24	0.9554339618	0.4038487132
25	0.9586623395	0.395106194
26	0.9602560979	0.3890009363
27	0.9628165543	0.3829955129
28	0.9653263433	0.3752479315
29	0.9663045188	0.3702535689
30	0.9679973779	0.3652641443
31	0.9699613796	0.3599135716
32	0.971812226	0.3553985579
33	0.9733550186	0.350141757
34	0.9741950037	0.3461502266
35	0.9744263345	0.342802751
36	0.9764233212	0.3370328483
37	0.977860146	0.3334090241
38	0.9788464629	0.3306191346
39	0.9803224975	0.3252632371
40	0.9811543267	0.3220194732
41	0.9816225525	0.3192715284
42	0.9821729542	0.316646823
43	0.9826284709	0.3143869365
44	0.9829922423	0.3120024524
45	0.9829880253	0.3115368943
46	0.9836709587	0.3069990771
47	0.9839715417	0.3033172724
48	0.9842654993	0.3001947018
49	0.9849146465	0.29659516
50	0.9854973749	0.2931929414
51	0.985815851	0.2906898377
52	0.986224439	0.2872742601
53	0.9870877852	0.2835377039
54	0.9876541846	0.2812302072
55	0.9884691041	0.2773232658
56	0.9887102016	0.2748866009
57	0.9891489129	0.2719346616
58	0.9895168885	0.2682576852
59	0.9896819338	0.266270994
60	0.9901567785	0.2641167072
61	0.9903632354	0.2627469763
62	0.9904955651	0.2609218716
63	0.9909305013	0.2588564043
64	0.9913875939	0.2551860666
65	0.9915972885	0.2534501876
66	0.9918122001	0.2511169486
67	0.9921984183	0.2488529038
68	0.9925245483	0.2464019815
69	0.992838317	0.2433110268
70	0.9934044094	0.2400137233
71	0.9937938993	0.2364241483
72	0.9943039555	0.2327918273
73	0.9945838619	0.2307502659
74	0.9948486301	0.2285682987
75	0.9953381955	0.2249758086
76	0.9955640396	0.2228461059
77	0.9957118299	0.221016099
78	0.9957222268	0.2194137199
79	0.9961576292	0.2158437762
80	0.9962983937	0.2142885148
81	0.9964622489	0.2121925941
82	0.996576155	0.2100160241
83	0.9965858558	0.2082785618
84	0.9968709585	0.2053871319
85	0.9969670743	0.2037405851
86	0.9970879904	0.2019777876
87	0.9972384182	0.1995152812
88	0.9973782947	0.1974770615
89	0.9976611414	0.1943258409
90	0.9979601004	0.1906367682
91	0.9980336605	0.1885690859
92	0.9981441905	0.1873787653
93	0.9983011657	0.1849990219
94	0.9984375849	0.1826303027
95	0.9985398197	0.1806770983
96	0.9986907008	0.1784009419
97	0.998768831	0.1769401399
98	0.9988411394	0.1749944078
99	0.9989407272	0.1726275763
100	0.9990681442	0.1700069041
101	0.9991014238	0.168697086
102	0.9991834957	0.1662639254
103	0.999290338	0.163901713
104	0.9993028315	0.1625612428
105	0.9993544514	0.1598436446
106	0.9994270847	0.1583767619
107	0.9994888908	0.1558190566
108	0.9995104676	0.1548532239
109	0.9995162697	0.1531425062
110	0.9995376075	0.1518087365
111	0.9995547288	0.1507977361
112	0.9995737341	0.1492392582
113	0.9996169935	0.1472809619
114	0.9996640477	0.1458899854
115	0.9997009653	0.1435724319
116	0.9997097188	0.1420272788
117	0.9997514241	0.1402986299
118	0.999775108	0.1388954558
119	0.9997819884	0.1373484477
120	0.9997946864	0.1360326227
121	0.9998154965	0.1345087223
122	0.999849059	0.131663461
123	0.9998738072	0.1302080055
124	0.9998975171	0.128011678
125	0.9999202063	0.1260974909
126	0.9999322761	0.1236211472
127	0.9999381535	0.1230002786
128	0.9999477599	0.1215319377
129	0.9999538336	0.1204329134
130	0.9999513921	0.119132675
131	0.9999573586	0.1178335838
132	0.9999615731	0.1165516311
133	0.9999663859	0.1150385818
134	0.9999706219	0.1131530201
135	0.9999754416	0.111019643
136	0.9999796488	0.1090766783
137	0.9999814623	0.1077786301
138	0.9999808541	0.1064281873
139	0.9999838616	0.1056175542
140	0.9999832332	0.104361109
141	0.9999862522	0.1032527474
142	0.9999874631	0.1020219935
143	0.9999892783	0.1013434573
144	0.9999916633	0.1000557969
145	0.9999922613	0.09913214172
146	0.9999928583	0.09853758315
147	0.9999928583	0.09764303633
148	0.9999952443	0.09603050755
149	0.9999970282	0.094936532
150	0.9999970228	0.09398050866
151	0.9999988119	0.09229532797
152	0.9999994057	0.09132274807
153	0.9999994057	0.09082376901
154	0.9999994057	0.08966825104
155	1	0.08862617074
156	1	0.08769226704
157	1	0.08715077775
158	1	0.08648274248
159	1	0.08548564113
160	1	0.08482406017
161	1	0.08413934954
162	1	0.08286567699
163	1	0.08146569401
164	1	0.08048484684
165	1	0.07966494567
166	1	0.07845014017
167	1	0.07722542602
168	1	0.07611954619
169	1	0.07532459301
170	1	0.07446454084
171	1	0.07398841858
172	1	0.07304151948
173	1	0.07242767446
174	1	0.07218989229
175	1	0.07123132069
176	1	0.07053661122
177	1	0.06977020972
178	1	0.06908751067
179	1	0.06829506862
180	1	0.06760947965
181	1	0.06682605514
182	1	0.06636590229
183	1	0.06600895677
184	1	0.06553735497
185	1	0.06489247293
186	1	0.06425504175
187	1	0.06352875207
188	1	0.06270677792
189	1	0.0620710451
190	1	0.06159963616
191	1	0.06100001532
192	1	0.0605337591
193	1	0.05982572088
194	1	0.05944700044
195	1	0.05920243341
196	1	0.05889944922
197	1	0.05846566993
198	1	0.05759926266
199	1	0.05716230978
200	1	0.05671710058
201	1	0.0563044782
202	1	0.05582452135
203	1	0.05538427123
204	1	0.05512743462
205	1	0.05481153088
206	1	0.05422843591
207	1	0.05371451608
208	1	0.05315235659
209	1	0.0528781766
210	1	0.05241623437
211	1	0.05224392969
212	1	0.05189094944
213	1	0.05138762878
214	1	0.05081934599
215	1	0.05050326652
216	1	0.05021058701
217	1	0.05000295138
218	1	0.04972216513
219	1	0.04921216987
220	1	0.0489778983
221	1	0.04855997865
222	1	0.04832171616
223	1	0.04814438409
224	1	0.04766759535
225	1	0.04730739379
226	1	0.04699648902
227	1	0.04670377773
228	1	0.04659152094
229	1	0.04649354701
230	1	0.04629102691
231	1	0.0459745454
232	1	0.04562137033
233	1	0.04526389807
234	1	0.04502641378
235	1	0.04474241682
236	1	0.04456291139
237	1	0.04429567332
238	1	0.0438299312
239	1	0.04338850531
240	1	0.04328188809
241	1	0.04290166688
242	1	0.04237297884
243	1	0.04206923026
244	1	0.04164716023
245	1	0.04146251776
246	1	0.04124400351
247	1	0.04096120875
248	1	0.04059287477
249	1	0.04021948106
250	1	0.0399219503
251	1	0.03965910887
252	1	0.03934339318
253	1	0.03895811012
254	1	0.03862547822
255	1	0.03845600798
256	1	0.03828124733
257	1	0.03797408199
258	1	0.0376861226
259	1	0.03736131866
260	1	0.03702305422
261	1	0.03666606931
262	1	0.03641910985
263	1	0.03623866508
264	1	0.03585666928
265	1	0.03552464136
266	1	0.03529470034
267	1	0.03504332294
268	1	0.03477024304
269	1	0.03462152889
270	1	0.03449244746
271	1	0.03432581685
272	1	0.03403081918
273	1	0.03378076454
274	1	0.03344945513
275	1	0.03325071701
276	1	0.03300189195
277	1	0.03280844256
278	1	0.03255813589
279	1	0.03240592633
280	1	0.03226293425
281	1	0.03217127167
282	1	0.03188222103
283	1	0.03159095098
284	1	0.03138507527
285	1	0.03115864926
286	1	0.03094942322
287	1	0.03081391055
288	1	0.03057787963
289	1	0.03046679578
290	1	0.03023154601
291	1	0.02999490897
292	1	0.02981160852
293	1	0.0296803832
294	1	0.02958827284
295	1	0.02943965261
296	1	0.02933932499
297	1	0.02924582957
298	1	0.0290032183
299	1	0.0289024022
